"ID","MonthlyIncome"
871,5793.15965771033
872,2578.02541668116
873,12038.5770938692
874,2179.73701828149
875,2322.82652703331
876,6047.38996960512
877,5669.03118920466
878,2136.09030723397
879,2528.37106069173
880,12640.2576289484
881,9658.64346620666
882,2348.2988886309
883,5753.31943092273
884,5697.8844900607
885,6024.8617509621
886,5920.52437208896
887,5865.51989648894
888,6041.26547390203
889,5254.0389641736
890,2669.71637626333
891,5765.88988993394
892,8544.4276958558
893,8670.09038536367
894,5619.62950467289
895,9671.75150715558
896,9092.78841850508
897,8658.15210217949
898,16019.048594808
899,5999.69503708604
900,2769.2386627409
901,2519.67243046477
902,6046.02818535384
903,6355.03559615029
904,2573.7302375567
905,16315.7640458386
906,5635.5770714558
907,9530.00121276805
908,6022.51882286583
909,2313.63873793412
910,2494.95485158759
911,19104.3227224541
912,2772.49188821698
913,2472.3881718317
914,13036.5585508443
915,6109.34834566719
916,5092.43648136178
917,2466.22589269965
918,5670.13005044775
919,2182.45509420476
920,2620.97136162904
921,2480.3893426829
922,2175.99166608058
923,5330.75034977547
924,5699.14355665004
925,16654.7328208727
926,2565.80633276481
927,5831.29297643566
928,13079.8364679098
929,2155.84621884198
930,2565.60858277483
931,6013.24822429045
932,12943.3269151953
933,8673.40270346601
934,2306.75372296669
935,2227.71132366789
936,2370.50128940164
937,9172.34359627744
938,9317.49717150565
939,5915.22439515464
940,2365.53643458667
941,2835.09049372696
942,8906.89530222888
943,9392.89461894173
944,5950.45620725163
945,2292.71808097684
946,5826.5858059344
947,2371.18735077424
948,2282.18496807151
949,2708.30273329302
950,5684.75715029604
951,2738.73400648906
952,5802.59555913976
953,5912.56739356041
954,2424.12070292219
955,5312.59766452545
956,8287.32132319278
957,10248.0643808275
958,2552.13417450631
959,9202.20930744446
960,19855.4830038922
961,2601.01967643727
962,5504.55806103398
963,6122.01595600311
964,5813.59814035414
965,2546.64972763371
966,19332.8729475472
967,2444.36560936412
968,8896.41983386737
969,16672.4752064385
970,2322.96014390787
971,5723.27867689769
972,6101.45236634215
973,2416.11910000544
974,2512.733754785
975,5905.08279999022
976,2501.67575607832
977,6508.22050625558
978,2516.9239492628
979,9106.98273489769
980,19104.8975654863
981,2333.02389212241
982,8997.92710041045
983,2482.6330488035
984,2512.30379637186
985,5760.18854261346
986,2795.10935049823
987,2529.09672201961
988,5774.08281661309
989,9206.39410248553
990,2593.10245004338
991,5840.61245234022
992,2591.87962150152
993,5783.58632250562
994,5756.04413890621
995,5722.44133555399
996,5848.74019915028
997,2506.21944872598
998,16624.4187896696
999,8768.5522544194
1000,1943.20111150028
1001,5862.24241622146
1002,5350.34257965547
1003,5654.81512349972
1004,6650.3617741282
1005,2894.56547998424
1006,5921.20993979939
1007,2470.33093593272
1008,5918.36570807236
1009,19240.5370815997
1010,5616.54807705462
1011,9316.45115586806
1012,5814.49214478627
1013,6231.46237367961
1014,5392.03765333943
1015,5708.97194382256
1016,2305.1213229981
1017,2741.51474572261
1018,8682.29215506471
1019,8934.64354184719
1020,2450.18482048648
1021,5909.07623893982
1022,5855.8645601855
1023,5493.76572665159
1024,9517.98517547857
1025,16254.1755785732
1026,18934.171083755
1027,5718.68874683723
1028,5735.4418000787
1029,5742.44711385449
1030,9056.95680760243
1031,5718.29073185209
1032,2846.17204198101
1033,12702.6614253269
1034,2548.20635257793
1035,5368.6602011566
1036,2490.72973984788
1037,5458.18027724439
1038,8763.84814975779
1039,12618.9549033108
1040,5865.77991020009
1041,2246.40801674735
1042,2736.60369075649
1043,8754.87831982602
1044,6283.80297846078
1045,2559.11118831522
1046,2237.98074297921
1047,6031.91913071441
1048,13025.8477667838
1049,2829.50856411311
1050,5808.76000210549
1051,9771.46687403169
1052,2377.65833093673
1053,5871.90603711804
1054,2729.47321483903
1055,2728.82092105773
1056,2465.70973802409
1057,6073.32632863337
1058,15852.0597697906
1059,6129.01956966847
1060,2688.07542729418
1061,5626.51054527322
1062,6170.5649933904
1063,6087.14844700452
1064,2303.60323594032
1065,6128.09260336768
1066,2344.94878767791
1067,3377.35331964659
1068,19438.3898650495
1069,5671.59312769667
1070,2482.64774870334
1071,2510.04217997195
1072,6242.09229394422
1073,2330.22480012757
1074,5909.39635731682
1075,5716.47692713923
1076,16450.7601990539
1077,19153.8690918061
1078,5221.40024193738
1079,5804.65832334824
1080,5928.61377369736
1081,2864.32047532507
1082,2623.33421242379
1083,2353.47618594606
1084,6265.15409168843
1085,8642.98771279892
1086,8947.42357276195
1087,5725.32034876571
1088,2750.79780844484
1089,2681.09481153058
1090,5798.57841663974
1091,5757.30356860879
1092,6094.90071323495
1093,12679.6176860174
1094,5750.39611036741
1095,5810.39008555728
1096,6151.11852310828
1097,3266.63588328687
1098,2691.61225317971
1099,2476.79282845179
1100,6028.7048984411
1101,18964.9348793527
1102,5859.89222437352
1103,6220.56716475681
1104,9966.00731240672
1105,2725.87290249023
1106,2724.40982524131
1107,2862.87072388392
1108,5732.53041443303
1109,5642.16459827365
1110,5623.53195478059
1111,6136.8607361147
1112,12997.161742608
1113,13141.8940811004
1114,6339.94712913583
1115,9375.42202108113
1116,2839.15844751385
1117,6582.71548977679
1118,5553.87052951682
1119,9469.20719257479
1120,2547.23142952863
1121,9136.56487272504
1122,16386.8280782417
1123,5691.15084037206
1124,16137.0417652233
1125,2402.38962207452
1126,2276.64333651569
1127,2424.10533175511
1128,5171.90179933085
1129,15972.9202584266
1130,2328.07623117999
1131,12842.8648469926
1132,16278.9541754361
1133,5976.16547034696
1134,2266.70361528012
1135,2438.18360347222
1136,2460.28809321351
1137,2776.93011776724
1138,5908.84076756817
1139,9053.5793988051
1140,15586.7283708373
1141,5844.51294797804
1142,5930.06889600717
1143,9592.03465777799
1144,5643.24496149921
1145,5838.22876853863
1146,5694.97630147078
1147,5215.13129602748
1148,2397.99000145372
1149,2596.20760778164
1150,6228.16777308901
1151,2549.86952582563
1152,5708.42549399184
1153,6042.19299223782
1154,2176.45279583384
1155,6291.64985136145
1156,12137.3417035054
1157,2571.42923122586
1158,5880.66003444911
1159,2623.09269673017
1160,5878.12304556359
1161,2610.4762967444
1162,9047.39337863413
1163,2530.88134805513
1164,9082.63285106423
1165,2770.8227176734
1166,2097.6709578601
1167,8929.27054420141
1168,5774.28754565057
1169,2660.06097397008
1170,2636.54127538021
